timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251024T133236.01-0300,-29.203374,-50.896550,4.35,5,893.80,2.12
20251024T133236.99-0300,-29.203368,-50.896554,2.57,5,892.60,2.12
20251024T133237.96-0300,-29.203368,-50.896554,2.57,5,892.60,2.12
20251024T150624.00-0300,-29.203830,-50.897027,1.04,7,nan,1.46
20251024T150625.00-0300,-29.203818,-50.897045,0.76,9,815.00,0.83
20251024T150626.00-0300,-29.203818,-50.897067,0.28,12,812.10,0.70
20251024T150627.00-0300,-29.203822,-50.897076,0.15,12,804.70,0.70
20251024T150628.00-0300,-29.203822,-50.897086,0.13,12,801.20,0.77
20251024T150629.00-0300,-29.203815,-50.897094,0.28,12,799.30,0.77
20251024T150630.00-0300,-29.203812,-50.897100,0.09,12,798.40,0.70
20251024T150631.00-0300,-29.203808,-50.897093,0.06,12,802.70,0.83
20251024T150631.96-0300,-29.203793,-50.897156,0.04,5,803.40,1.84
20251024T150632.96-0300,-29.203764,-50.897193,0.15,12,806.90,0.77
20251024T150634.00-0300,-29.203753,-50.897234,0.22,12,811.10,0.65
20251024T150635.00-0300,-29.203745,-50.897255,0.06,12,813.80,0.65
20251024T150636.00-0300,-29.203739,-50.897269,0.13,12,815.70,0.65
20251024T150637.00-0300,-29.203736,-50.897273,0.11,12,816.80,0.62
20251024T150648.00-0300,-29.203663,-50.897315,3.09,12,826.40,0.65
20251024T150649.00-0300,-29.203653,-50.897314,2.70,12,827.50,0.62
20251024T150650.00-0300,-29.203645,-50.897315,2.72,12,828.00,0.62
20251024T150651.00-0300,-29.203637,-50.897315,2.76,12,828.50,0.62
20251024T150652.00-0300,-29.203630,-50.897312,2.96,12,828.70,0.62
20251024T150653.00-0300,-29.203623,-50.897308,3.11,12,829.30,0.62
20251024T150654.00-0300,-29.203616,-50.897306,3.09,12,829.70,0.62
20251024T150655.00-0300,-29.203609,-50.897302,3.06,12,830.10,0.62
20251024T150657.00-0300,-29.203596,-50.897294,3.07,12,830.50,0.66
20251024T150658.00-0300,-29.203590,-50.897288,3.30,12,831.10,0.66
20251024T150659.00-0300,-29.203585,-50.897282,2.98,12,831.50,0.62
20251024T150700.00-0300,-29.203580,-50.897276,3.24,12,831.80,0.65
20251024T150701.00-0300,-29.203576,-50.897270,3.02,12,831.90,0.65
20251024T150702.00-0300,-29.203572,-50.897264,3.17,12,832.10,0.62
20251024T150703.00-0300,-29.203568,-50.897256,3.15,12,832.30,0.62
20251024T150704.00-0300,-29.203564,-50.897249,3.32,12,832.40,0.62
20251024T150705.00-0300,-29.203559,-50.897242,3.19,12,832.50,0.62
20251024T150706.00-0300,-29.203555,-50.897236,3.15,12,832.50,0.62
20251024T150707.00-0300,-29.203552,-50.897227,3.19,12,832.70,0.62
20251024T150708.00-0300,-29.203549,-50.897219,3.33,12,833.00,0.62
20251024T150709.00-0300,-29.203546,-50.897210,3.37,12,833.30,0.62
20251024T150710.00-0300,-29.203544,-50.897201,3.35,12,833.50,0.62
20251024T150711.00-0300,-29.203545,-50.897192,3.20,12,833.70,0.62
20251024T150712.00-0300,-29.203548,-50.897183,3.11,12,833.80,0.62
20251024T150713.00-0300,-29.203553,-50.897176,3.39,12,834.00,0.62
20251024T150714.00-0300,-29.203557,-50.897171,2.04,12,834.20,0.62
20251024T150715.00-0300,-29.203556,-50.897172,1.09,12,834.10,0.65
20251024T150716.00-0300,-29.203555,-50.897172,0.30,12,834.30,0.62
20251024T150717.00-0300,-29.203559,-50.897166,3.89,12,834.70,0.62
20251024T150718.00-0300,-29.203568,-50.897157,5.57,12,835.00,0.62
20251024T150719.00-0300,-29.203580,-50.897147,5.83,12,835.10,0.62
20251024T150720.00-0300,-29.203591,-50.897138,5.69,12,835.20,0.64
20251024T150721.00-0300,-29.203603,-50.897129,5.83,12,835.30,0.64
